time,o,h,l,c,volume,complete
2020-11-19 08:00:00,1.18446,1.18464,1.18444,1.1846,70,True
2020-11-19 08:00:30,1.18461,1.18478,1.18452,1.18464,97,True
2020-11-19 08:01:00,1.18465,1.18484,1.18458,1.1848,93,True
2020-11-19 08:01:30,1.18478,1.185,1.18476,1.18499,65,True
2020-11-19 08:02:00,1.18498,1.18498,1.18474,1.1848,71,True
2020-11-19 08:02:30,1.18478,1.1848,1.18472,1.18478,42,True
2020-11-19 08:03:00,1.18476,1.18491,1.18468,1.1849,52,True
2020-11-19 08:03:30,1.18488,1.18496,1.18483,1.18491,39,True
2020-11-19 08:04:00,1.18492,1.18493,1.18478,1.18478,50,True
2020-11-19 08:04:30,1.1848,1.18481,1.18474,1.18476,64,True
2020-11-19 08:05:00,1.18478,1.18485,1.18471,1.18472,72,True
2020-11-19 08:05:30,1.18473,1.18478,1.1846,1.18462,84,True
2020-11-19 08:06:00,1.18463,1.18463,1.1844,1.1844,48,True
2020-11-19 08:06:30,1.18439,1.18441,1.18418,1.18422,102,True
2020-11-19 08:07:00,1.18424,1.18428,1.18414,1.1842,84,True
2020-11-19 08:07:30,1.1842,1.18425,1.18406,1.1842,78,True
2020-11-19 08:08:00,1.18419,1.18426,1.18392,1.18394,134,True
2020-11-19 08:08:30,1.18394,1.18414,1.18392,1.18411,93,True
2020-11-19 08:09:00,1.18412,1.1843,1.18412,1.1843,95,True
2020-11-19 08:09:30,1.18428,1.1844,1.18426,1.18432,61,True
2020-11-19 08:10:00,1.18431,1.18439,1.18423,1.18434,64,True
2020-11-19 08:10:30,1.18432,1.18438,1.18425,1.18436,59,True
2020-11-19 08:11:00,1.18437,1.18444,1.18437,1.18442,59,True
2020-11-19 08:11:30,1.18444,1.18447,1.18434,1.18436,57,True
2020-11-19 08:12:00,1.18434,1.18435,1.18425,1.18432,47,True
2020-11-19 08:12:30,1.18434,1.18444,1.18426,1.18428,81,True
2020-11-19 08:13:00,1.18428,1.1844,1.18428,1.18439,45,True
2020-11-19 08:13:30,1.18438,1.18439,1.1841,1.18413,48,True
2020-11-19 08:14:00,1.18412,1.18422,1.18404,1.18414,80,True
2020-11-19 08:14:30,1.18414,1.18426,1.18411,1.18423,75,True
2020-11-19 08:15:00,1.18422,1.18424,1.18408,1.1842,72,True
2020-11-19 08:15:30,1.18418,1.18426,1.18415,1.18423,64,True
2020-11-19 08:16:00,1.18424,1.1843,1.18409,1.18409,43,True
2020-11-19 08:16:30,1.1841,1.1841,1.18396,1.18396,70,True
2020-11-19 08:17:00,1.18397,1.1841,1.18388,1.18389,73,True
2020-11-19 08:17:30,1.18388,1.1839,1.18372,1.18372,79,True
2020-11-19 08:18:00,1.18374,1.1838,1.1836,1.18371,101,True
2020-11-19 08:18:30,1.18372,1.18377,1.18365,1.1837,63,True
2020-11-19 08:19:00,1.18371,1.18382,1.1837,1.1838,78,True
2020-11-19 08:19:30,1.18378,1.18388,1.18372,1.18383,77,True
2020-11-19 08:20:00,1.18384,1.18402,1.1838,1.18394,82,True
2020-11-19 08:20:30,1.18396,1.18401,1.18394,1.184,31,True
2020-11-19 08:21:00,1.18399,1.184,1.18384,1.1839,45,True
2020-11-19 08:21:30,1.18391,1.18397,1.18386,1.18388,68,True
2020-11-19 08:22:00,1.18389,1.18399,1.18387,1.1839,45,True
2020-11-19 08:22:30,1.18392,1.18402,1.18366,1.18368,74,True
2020-11-19 08:23:00,1.18368,1.18372,1.1836,1.18368,82,True
2020-11-19 08:23:30,1.18368,1.18371,1.18365,1.18368,39,True
2020-11-19 08:24:00,1.18369,1.1837,1.18359,1.18362,72,True
2020-11-19 08:24:30,1.18362,1.18364,1.18358,1.1836,59,True
2020-11-19 08:25:00,1.1836,1.18368,1.18356,1.18364,53,True
2020-11-19 08:25:30,1.18365,1.18365,1.18356,1.18359,53,True
2020-11-19 08:26:00,1.1836,1.18368,1.18352,1.18354,49,True
2020-11-19 08:26:30,1.18353,1.18364,1.18348,1.1836,59,True
2020-11-19 08:27:00,1.18362,1.18364,1.18356,1.18359,44,True
2020-11-19 08:27:30,1.18361,1.18369,1.18361,1.18364,49,True
2020-11-19 08:28:00,1.18366,1.18368,1.18347,1.18354,48,True
2020-11-19 08:28:30,1.18354,1.18362,1.18354,1.18359,38,True
2020-11-19 08:29:00,1.18358,1.18364,1.18354,1.18358,48,True
2020-11-19 08:29:30,1.1836,1.18364,1.18353,1.1836,39,True
2020-11-19 08:30:00,1.18362,1.18364,1.18354,1.18354,54,True
2020-11-19 08:30:30,1.18356,1.18356,1.18346,1.18349,42,True
2020-11-19 08:31:00,1.1835,1.18363,1.1835,1.18363,57,True
2020-11-19 08:31:30,1.18364,1.18368,1.18348,1.18349,52,True
2020-11-19 08:32:00,1.18348,1.18348,1.18324,1.18332,71,True
2020-11-19 08:32:30,1.1833,1.18337,1.18328,1.18336,36,True
2020-11-19 08:33:00,1.18337,1.1834,1.18324,1.18324,54,True
2020-11-19 08:33:30,1.18324,1.18332,1.18323,1.18328,54,True
2020-11-19 08:34:00,1.18326,1.18338,1.18326,1.18333,60,True
2020-11-19 08:34:30,1.18334,1.1834,1.18334,1.18338,47,True
2020-11-19 08:35:00,1.18338,1.18341,1.18335,1.18338,44,True
2020-11-19 08:35:30,1.18338,1.1834,1.1833,1.18334,59,True
2020-11-19 08:36:00,1.18336,1.1834,1.18333,1.18338,45,True
2020-11-19 08:36:30,1.1834,1.1834,1.18335,1.1834,19,True
2020-11-19 08:37:00,1.18338,1.1834,1.18335,1.18338,32,True
2020-11-19 08:37:30,1.18338,1.18339,1.18332,1.18336,45,True
2020-11-19 08:38:00,1.18337,1.1834,1.18335,1.18338,37,True
2020-11-19 08:38:30,1.18338,1.1834,1.18334,1.18336,32,True
2020-11-19 08:39:00,1.18335,1.18338,1.18332,1.18332,29,True
2020-11-19 08:39:30,1.18334,1.1834,1.18334,1.18336,20,True
2020-11-19 08:40:00,1.18338,1.1834,1.18333,1.1834,50,True
2020-11-19 08:40:30,1.18338,1.1834,1.18336,1.18338,44,True
2020-11-19 08:41:00,1.18338,1.1835,1.18338,1.18346,44,True
2020-11-19 08:41:30,1.18347,1.1835,1.18344,1.1835,17,True
2020-11-19 08:42:00,1.18348,1.18352,1.18344,1.1835,46,True
2020-11-19 08:42:30,1.18349,1.1836,1.18348,1.18355,38,True
2020-11-19 08:43:00,1.18353,1.18362,1.18353,1.18357,43,True
2020-11-19 08:43:30,1.18356,1.18364,1.18355,1.18361,19,True
2020-11-19 08:44:00,1.1836,1.18362,1.18352,1.18362,49,True
2020-11-19 08:44:30,1.1836,1.18378,1.1836,1.18378,53,True
2020-11-19 08:45:00,1.18378,1.18378,1.18362,1.18368,61,True
2020-11-19 08:45:30,1.18366,1.18376,1.18363,1.18368,49,True
2020-11-19 08:46:00,1.1837,1.18386,1.18364,1.18385,75,True
2020-11-19 08:46:30,1.18386,1.184,1.18383,1.18383,46,True
2020-11-19 08:47:00,1.18384,1.18386,1.18364,1.1837,78,True
2020-11-19 08:47:30,1.1837,1.18371,1.18356,1.1836,59,True
2020-11-19 08:48:00,1.1836,1.18362,1.18346,1.1835,85,True
2020-11-19 08:48:30,1.18349,1.18351,1.18341,1.18342,60,True
2020-11-19 08:49:00,1.18341,1.18341,1.18322,1.18325,79,True
2020-11-19 08:49:30,1.18326,1.18332,1.18323,1.18325,40,True
2020-11-19 08:50:00,1.18326,1.1833,1.18322,1.18323,33,True
2020-11-19 08:50:30,1.18324,1.18324,1.18312,1.18312,62,True
2020-11-19 08:51:00,1.1831,1.18322,1.18282,1.18282,85,True
2020-11-19 08:51:30,1.18281,1.18284,1.18266,1.18274,109,True
2020-11-19 08:52:00,1.18272,1.18274,1.18255,1.18261,73,True
2020-11-19 08:52:30,1.18262,1.18269,1.18256,1.18259,62,True
2020-11-19 08:53:00,1.18258,1.18264,1.18256,1.18258,52,True
2020-11-19 08:53:30,1.18258,1.18258,1.18246,1.18252,40,True
2020-11-19 08:54:00,1.18254,1.18256,1.18244,1.18252,64,True
2020-11-19 08:54:30,1.18254,1.18254,1.18234,1.18234,57,True
2020-11-19 08:55:00,1.18235,1.18244,1.18218,1.18232,89,True
2020-11-19 08:55:30,1.18232,1.18236,1.18224,1.18226,61,True
2020-11-19 08:56:00,1.18226,1.18264,1.18226,1.18263,117,True
2020-11-19 08:56:30,1.18262,1.18272,1.18249,1.1825,97,True
2020-11-19 08:57:00,1.18249,1.18252,1.18233,1.18246,87,True
2020-11-19 08:57:30,1.18247,1.18252,1.18237,1.18241,57,True
2020-11-19 08:58:00,1.1824,1.18254,1.18228,1.18254,63,True
2020-11-19 08:58:30,1.18252,1.18254,1.18244,1.18248,65,True
2020-11-19 08:59:00,1.1825,1.18262,1.1824,1.18262,87,True
2020-11-19 08:59:30,1.18263,1.18269,1.18254,1.18268,75,True
2020-11-19 09:00:00,1.18269,1.18269,1.18242,1.18244,88,True
2020-11-19 09:00:30,1.18246,1.18252,1.18242,1.18246,63,True
2020-11-19 09:01:00,1.18244,1.18244,1.18232,1.18234,73,True
2020-11-19 09:01:30,1.18235,1.18252,1.18227,1.18252,84,True
2020-11-19 09:02:00,1.18252,1.18276,1.1825,1.18272,73,True
2020-11-19 09:02:30,1.18273,1.18286,1.18269,1.18282,106,True
2020-11-19 09:03:00,1.18283,1.18293,1.18278,1.1829,92,True
2020-11-19 09:03:30,1.18289,1.183,1.18287,1.183,72,True
2020-11-19 09:04:00,1.18302,1.18303,1.18282,1.18282,84,True
2020-11-19 09:04:30,1.18282,1.18292,1.18276,1.1829,46,True
2020-11-19 09:05:00,1.18289,1.18295,1.18288,1.18291,53,True
2020-11-19 09:05:30,1.1829,1.18305,1.1829,1.18305,42,True
2020-11-19 09:06:00,1.18306,1.18307,1.18302,1.18306,22,True
2020-11-19 09:06:30,1.18308,1.1832,1.18307,1.18313,39,True
2020-11-19 09:07:00,1.18312,1.18316,1.18312,1.18314,35,True
2020-11-19 09:07:30,1.18314,1.18328,1.18312,1.18328,50,True
2020-11-19 09:08:00,1.18328,1.18338,1.18326,1.18336,50,True
2020-11-19 09:08:30,1.18335,1.18343,1.18332,1.18341,53,True
2020-11-19 09:09:00,1.1834,1.1834,1.18328,1.18334,38,True
2020-11-19 09:09:30,1.18336,1.18336,1.18313,1.18316,74,True
2020-11-19 09:10:00,1.18317,1.18318,1.18312,1.18312,30,True
2020-11-19 09:10:30,1.18314,1.18314,1.18298,1.18303,50,True
2020-11-19 09:11:00,1.18302,1.18317,1.18299,1.18317,73,True
2020-11-19 09:11:30,1.18316,1.1832,1.18312,1.18312,39,True
2020-11-19 09:12:00,1.18312,1.18334,1.18309,1.18328,46,True
2020-11-19 09:12:30,1.18329,1.1833,1.18318,1.18318,36,True
2020-11-19 09:13:00,1.1832,1.18326,1.18317,1.18318,43,True
2020-11-19 09:13:30,1.1832,1.18329,1.18318,1.18326,37,True
2020-11-19 09:14:00,1.18324,1.18328,1.18317,1.18317,47,True
2020-11-19 09:14:30,1.18318,1.18324,1.18318,1.18322,18,True
2020-11-19 09:15:00,1.18324,1.18329,1.18321,1.18324,43,True
2020-11-19 09:15:30,1.18322,1.18322,1.18306,1.1831,63,True
2020-11-19 09:16:00,1.18311,1.18329,1.18287,1.18292,80,True
2020-11-19 09:16:30,1.1829,1.18294,1.18282,1.18282,18,True
2020-11-19 09:17:00,1.18281,1.18289,1.1827,1.18288,72,True
2020-11-19 09:17:30,1.1829,1.1831,1.18283,1.18291,84,True
2020-11-19 09:18:00,1.18292,1.18308,1.18292,1.18292,79,True
2020-11-19 09:18:30,1.18293,1.18297,1.18288,1.1829,25,True
2020-11-19 09:19:00,1.18288,1.18295,1.18277,1.18283,56,True
2020-11-19 09:19:30,1.18284,1.18288,1.18266,1.18276,78,True
2020-11-19 09:20:00,1.18278,1.18278,1.18254,1.1826,77,True
2020-11-19 09:20:30,1.18262,1.18274,1.18262,1.18262,53,True
2020-11-19 09:21:00,1.18263,1.18264,1.18252,1.18259,79,True
2020-11-19 09:21:30,1.18261,1.1827,1.18261,1.18266,52,True
2020-11-19 09:22:00,1.18266,1.18266,1.18262,1.18262,18,True
2020-11-19 09:22:30,1.18263,1.18276,1.18256,1.18272,53,True
2020-11-19 09:23:00,1.1827,1.18282,1.18264,1.18282,42,True
2020-11-19 09:23:30,1.18282,1.1829,1.18278,1.18289,36,True
2020-11-19 09:24:00,1.1829,1.18293,1.18267,1.18276,52,True
2020-11-19 09:24:30,1.18274,1.18277,1.18269,1.18274,44,True
2020-11-19 09:25:00,1.18275,1.18276,1.18262,1.18268,39,True
2020-11-19 09:25:30,1.18269,1.18276,1.18266,1.18266,51,True
2020-11-19 09:26:00,1.18268,1.18276,1.18264,1.18272,38,True
2020-11-19 09:26:30,1.18274,1.18275,1.18265,1.18272,35,True
2020-11-19 09:27:00,1.18274,1.18284,1.18274,1.18283,33,True
2020-11-19 09:27:30,1.18284,1.18284,1.18262,1.18266,40,True
2020-11-19 09:28:00,1.18268,1.18272,1.18266,1.18268,33,True
2020-11-19 09:28:30,1.18268,1.18272,1.18264,1.18271,44,True
2020-11-19 09:29:00,1.18272,1.18274,1.1826,1.18264,57,True
2020-11-19 09:29:30,1.18264,1.18279,1.18262,1.18278,51,True
2020-11-19 09:30:00,1.18279,1.18298,1.18279,1.1829,62,True
2020-11-19 09:30:30,1.18288,1.18288,1.1828,1.18287,39,True
2020-11-19 09:31:00,1.18288,1.18297,1.18278,1.18279,80,True
2020-11-19 09:31:30,1.18277,1.1828,1.18272,1.18278,36,True
2020-11-19 09:32:00,1.1828,1.18308,1.1828,1.18306,54,True
2020-11-19 09:32:30,1.18304,1.18312,1.18304,1.18312,30,True
2020-11-19 09:33:00,1.18312,1.18328,1.1831,1.18328,45,True
2020-11-19 09:33:30,1.18329,1.18332,1.18322,1.18328,51,True
2020-11-19 09:34:00,1.18327,1.18343,1.18327,1.18342,39,True
2020-11-19 09:34:30,1.1834,1.18344,1.18335,1.18338,44,True
2020-11-19 09:35:00,1.18337,1.18338,1.18328,1.18332,32,True
2020-11-19 09:35:30,1.1833,1.18331,1.18323,1.18328,36,True
2020-11-19 09:36:00,1.18326,1.18328,1.1832,1.18326,26,True
2020-11-19 09:36:30,1.18325,1.18326,1.18314,1.18316,38,True
2020-11-19 09:37:00,1.18315,1.18317,1.18308,1.18308,37,True
2020-11-19 09:37:30,1.18306,1.18317,1.18306,1.18316,34,True
2020-11-19 09:38:00,1.18315,1.18317,1.18282,1.18282,103,True
2020-11-19 09:38:30,1.18281,1.183,1.18281,1.18294,51,True
2020-11-19 09:39:00,1.18295,1.18298,1.18289,1.18291,39,True
2020-11-19 09:39:30,1.18292,1.18311,1.18292,1.18308,43,True
2020-11-19 09:40:00,1.18307,1.18314,1.18298,1.18312,53,True
2020-11-19 09:40:30,1.1831,1.18317,1.18302,1.18312,43,True
2020-11-19 09:41:00,1.1831,1.18317,1.18308,1.18317,35,True
2020-11-19 09:41:30,1.18318,1.18321,1.18316,1.18321,23,True
2020-11-19 09:42:00,1.1832,1.18322,1.18311,1.18311,22,True
2020-11-19 09:42:30,1.18312,1.18314,1.18302,1.1831,54,True
2020-11-19 09:43:00,1.18312,1.18331,1.18312,1.1832,79,True
2020-11-19 09:43:30,1.18319,1.18336,1.18318,1.18336,37,True
2020-11-19 09:44:00,1.18334,1.18344,1.18333,1.18344,24,True
2020-11-19 09:44:30,1.18345,1.18345,1.18334,1.18343,47,True
2020-11-19 09:45:00,1.18344,1.18344,1.18334,1.18338,46,True
2020-11-19 09:45:30,1.18339,1.18343,1.18335,1.18342,46,True
2020-11-19 09:46:00,1.1834,1.1835,1.18332,1.18343,88,True
2020-11-19 09:46:30,1.18342,1.18352,1.18338,1.1835,48,True
2020-11-19 09:47:00,1.18352,1.18358,1.18336,1.18337,56,True
2020-11-19 09:47:30,1.18336,1.18338,1.18332,1.18333,23,True
2020-11-19 09:48:00,1.18332,1.18334,1.18316,1.18317,32,True
2020-11-19 09:48:30,1.18318,1.18322,1.18302,1.18304,72,True
2020-11-19 09:49:00,1.18303,1.1831,1.183,1.18307,55,True
2020-11-19 09:49:30,1.18308,1.18308,1.18292,1.18293,41,True
2020-11-19 09:50:00,1.18292,1.18302,1.1829,1.183,43,True
2020-11-19 09:50:30,1.18299,1.183,1.18289,1.1829,58,True
2020-11-19 09:51:00,1.1829,1.18307,1.1829,1.18303,48,True
2020-11-19 09:51:30,1.18304,1.18313,1.18303,1.18313,29,True
2020-11-19 09:52:00,1.18314,1.18317,1.18312,1.18312,34,True
2020-11-19 09:52:30,1.1831,1.18312,1.18306,1.18308,15,True
2020-11-19 09:53:00,1.18306,1.18309,1.183,1.18308,31,True
2020-11-19 09:53:30,1.1831,1.1832,1.1829,1.1829,66,True
2020-11-19 09:54:00,1.1829,1.18304,1.1829,1.18297,64,True
2020-11-19 09:54:30,1.18298,1.18304,1.18292,1.18298,51,True
2020-11-19 09:55:00,1.18296,1.18297,1.18288,1.18292,40,True
2020-11-19 09:55:30,1.1829,1.18296,1.18288,1.18294,49,True
2020-11-19 09:56:00,1.18294,1.18304,1.18292,1.18295,67,True
2020-11-19 09:56:30,1.18294,1.18297,1.18291,1.18292,41,True
2020-11-19 09:57:00,1.1829,1.1829,1.18274,1.18289,70,True
2020-11-19 09:57:30,1.1829,1.18295,1.1828,1.18295,44,True
2020-11-19 09:58:00,1.18296,1.18297,1.18294,1.18295,33,True
2020-11-19 09:58:30,1.18296,1.183,1.18292,1.18292,37,True
2020-11-19 09:59:00,1.18294,1.18296,1.18287,1.1829,46,True
2020-11-19 09:59:30,1.18288,1.18297,1.18288,1.18297,47,True
2020-11-19 10:00:00,1.18296,1.18302,1.18278,1.183,80,True
2020-11-19 10:00:30,1.183,1.18302,1.18292,1.18298,45,True
2020-11-19 10:01:00,1.18298,1.183,1.18286,1.1829,56,True
2020-11-19 10:01:30,1.18289,1.18303,1.18288,1.183,54,True
2020-11-19 10:02:00,1.18302,1.18313,1.18301,1.18312,38,True
2020-11-19 10:02:30,1.18313,1.18313,1.18292,1.18292,56,True
2020-11-19 10:03:00,1.18294,1.18315,1.18294,1.18315,43,True
2020-11-19 10:03:30,1.18314,1.1832,1.18312,1.18316,31,True
2020-11-19 10:04:00,1.18314,1.18314,1.18307,1.18314,27,True
2020-11-19 10:04:30,1.18314,1.18324,1.18309,1.18313,35,True
2020-11-19 10:05:00,1.18312,1.18314,1.18304,1.1831,25,True
2020-11-19 10:05:30,1.18311,1.18319,1.18311,1.18318,21,True
2020-11-19 10:06:00,1.18318,1.18322,1.18303,1.18303,40,True
2020-11-19 10:06:30,1.18304,1.18304,1.18298,1.18303,43,True
2020-11-19 10:07:00,1.18304,1.18307,1.18301,1.18302,33,True
2020-11-19 10:07:30,1.183,1.18303,1.18292,1.18294,22,True
2020-11-19 10:08:00,1.18295,1.18295,1.18278,1.18282,48,True
2020-11-19 10:08:30,1.1828,1.18293,1.18278,1.18283,75,True
2020-11-19 10:09:00,1.18282,1.1829,1.18281,1.1829,52,True
2020-11-19 10:09:30,1.18289,1.183,1.18286,1.1829,26,True
2020-11-19 10:10:00,1.18288,1.1829,1.18272,1.18272,39,True
2020-11-19 10:10:30,1.18271,1.18274,1.18268,1.18272,50,True
2020-11-19 10:11:00,1.18272,1.18284,1.18262,1.18264,92,True
2020-11-19 10:11:30,1.18264,1.18274,1.18262,1.18272,59,True
2020-11-19 10:12:00,1.18273,1.18274,1.18262,1.18264,40,True
2020-11-19 10:12:30,1.18266,1.18266,1.18256,1.18258,46,True
2020-11-19 10:13:00,1.18256,1.18262,1.18252,1.18253,62,True
2020-11-19 10:13:30,1.18254,1.18259,1.18241,1.18241,69,True
2020-11-19 10:14:00,1.18242,1.18254,1.18236,1.18246,64,True
2020-11-19 10:14:30,1.18246,1.18254,1.1824,1.18244,62,True
2020-11-19 10:15:00,1.18246,1.1825,1.18236,1.18242,70,True
2020-11-19 10:15:30,1.18241,1.18241,1.18218,1.18224,70,True
2020-11-19 10:16:00,1.18222,1.18222,1.18174,1.18181,127,True
2020-11-19 10:16:30,1.18182,1.18182,1.18163,1.18172,137,True
2020-11-19 10:17:00,1.18171,1.18206,1.18171,1.18206,102,True
2020-11-19 10:17:30,1.18204,1.18208,1.1819,1.18203,75,True
2020-11-19 10:18:00,1.18202,1.18218,1.18194,1.18211,73,True
2020-11-19 10:18:30,1.1821,1.18229,1.18208,1.18229,50,True
2020-11-19 10:19:00,1.18228,1.18237,1.18218,1.18236,69,True
2020-11-19 10:19:30,1.18235,1.18248,1.18232,1.18238,51,True
2020-11-19 10:20:00,1.18238,1.18244,1.18218,1.18222,76,True
2020-11-19 10:20:30,1.18223,1.18238,1.18216,1.18237,87,True
2020-11-19 10:21:00,1.18236,1.18244,1.18232,1.18242,57,True
2020-11-19 10:21:30,1.18241,1.18241,1.1822,1.18228,75,True
2020-11-19 10:22:00,1.18229,1.18248,1.18225,1.18248,79,True
2020-11-19 10:22:30,1.18246,1.18246,1.18232,1.18241,80,True
2020-11-19 10:23:00,1.18242,1.1825,1.18242,1.18247,36,True
2020-11-19 10:23:30,1.18246,1.18246,1.18224,1.18224,47,True
2020-11-19 10:24:00,1.18226,1.18228,1.18224,1.18226,31,True
2020-11-19 10:24:30,1.18224,1.18224,1.18217,1.18224,37,True
2020-11-19 10:25:00,1.18224,1.1824,1.18221,1.18237,45,True
2020-11-19 10:25:30,1.18238,1.1824,1.18226,1.18235,35,True
2020-11-19 10:26:00,1.18236,1.18236,1.18227,1.18234,42,True
2020-11-19 10:26:30,1.18232,1.18237,1.18228,1.18237,27,True
2020-11-19 10:27:00,1.18236,1.18238,1.18226,1.18226,23,True
2020-11-19 10:27:30,1.18226,1.1823,1.18224,1.18226,31,True
2020-11-19 10:28:00,1.18224,1.18226,1.18216,1.1822,31,True
2020-11-19 10:28:30,1.18221,1.18232,1.18219,1.18232,33,True
2020-11-19 10:29:00,1.18232,1.18234,1.18213,1.18216,34,True
2020-11-19 10:29:30,1.18214,1.18216,1.18201,1.18213,64,True
